id,company_name,country,categories,stands,exhibitions,years,appearance_count,extra_json
expo-00710,MARS FK,Azərbaycan,MEDİA,A1212,Caspian Agro Week,2019,1,"{""appearances"": [{""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2019"", ""category"": ""MEDİA"", ""stand"": ""A1212"", ""company_id"": """", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2019""}]}"
expo-00711,MARS-A MMC,Azərbaycan,MEDİA,1B026,BakuBuild,2024,1,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2024"", ""category"": ""MEDİA"", ""stand"": ""1B026"", ""company_id"": ""314117"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2024""}]}"
expo-00712,MASALLI REGIONU,Azərbaycan,TƏRƏFDAŞ,2A516,Caspian Agro Week,2026,1,"{""appearances"": [{""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2026"", ""category"": ""TƏRƏFDAŞ"", ""stand"": ""2A516"", ""company_id"": ""353622"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2026""}]}"
expo-00713,MASCHIO GASPARDO,Azərbaycan,TƏRƏFDAŞ,1A310,Caspian Agro Week,2026,1,"{""appearances"": [{""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2026"", ""category"": ""TƏRƏFDAŞ"", ""stand"": ""1A310"", ""company_id"": """", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2026""}]}"
expo-00714,MASCİA GASPARDO,Azərbaycan,MEDİA,A1302/A1402,Caspian Agro Week,2022,1,"{""appearances"": [{""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""A1302/A1402"", ""company_id"": """", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2022""}]}"
expo-00715,MASTER TOOLS MMC-NİN AZƏRBAYCAN RESPUBLİKASINDAKI  FİLİALI,Azərbaycan,MEDİA | TƏRƏFDAŞLAR,B1306 | B1310,BakuBuild,2021 | 2022,2,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2021"", ""category"": ""TƏRƏFDAŞLAR"", ""stand"": ""B1310"", ""company_id"": ""6311"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2021""}, {""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""B1306"", ""company_id"": ""6311"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2022""}]}"
expo-00716,MATRİXPRO MMC,Azərbaycan,MEDİA,2B124,BakuBuild,2024,1,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2024"", ""category"": ""MEDİA"", ""stand"": ""2B124"", ""company_id"": ""324809"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2024""}]}"
expo-00717,MAY VALLEY MMC,Azərbaycan,NAXÇIVAN MUXTAR RESPUBLİKASININ MİLLİ STENDİ,4F102-6,InterFood Azerbaijan,2025,1,"{""appearances"": [{""exhibition"": ""interfood"", ""exhibition_label"": ""InterFood Azerbaijan"", ""year"": ""2025"", ""category"": ""NAXÇIVAN MUXTAR RESPUBLİKASININ MİLLİ STENDİ"", ""stand"": ""4F102-6"", ""company_id"": """", ""source_url"": ""https://interfood.az/az/exhibitors-list/year/2025""}]}"
expo-00718,MAYBO MMC,Azərbaycan,MEDİA | TƏRƏFDAŞLAR,1106 | A2018 | A2220 | B1120 | C1064,BakuBuild | Caspian Agro Week | Caspian Oil & Gas | InterFood Azerbaijan,2019 | 2021 | 2022,5,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2021"", ""category"": ""TƏRƏFDAŞLAR"", ""stand"": ""B1120"", ""company_id"": ""4735"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2021""}, {""exhibition"": ""interfood"", ""exhibition_label"": ""InterFood Azerbaijan"", ""year"": ""2019"", ""category"": ""MEDİA"", ""stand"": ""A2220"", ""company_id"": ""4735"", ""source_url"": ""https://interfood.az/az/exhibitors-list/year/2019""}, {""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2019"", ""category"": ""MEDİA"", ""stand"": ""1106"", ""company_id"": ""4735"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2019""}, {""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""C1064"", ""company_id"": ""4735"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2022""}, {""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""A2018"", ""company_id"": ""4735"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2022""}]}"
expo-00719,MCCORMİCK,Azərbaycan,MEDİA,A2327,Caspian Agro Week,2019,1,"{""appearances"": [{""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2019"", ""category"": ""MEDİA"", ""stand"": ""A2327"", ""company_id"": """", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2019""}]}"
