id,company_name,country,category,stand,exhibition_site,exhibition_label,exhibition_year,exhibition_id,company_id,source_url
expo-raw-000117,AZƏRBAYCAN RESPUBLİKASI SAHİBKARLAR (İŞƏGÖTÜRƏNLƏR) TƏŞKİLATLARI MİLLİ KONFEDERASİYASI,Azərbaycan,MEDİA,B2028,bakubuild,BakuBuild,2022,230,4292,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000118,AZƏRBAYCAN RESPUBLİKASININ KİÇİK VƏ ORTA BİZNESİN İNKİŞAFI AGENTLİYİ,Azərbaycan,MEDİA,K1204,bakubuild,BakuBuild,2022,230,4316,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000119,AZƏRBAYCAN RESPUBLİKASININ İXRACIN VƏ İNVESTİSİYALARIN TƏŞVİQİ AGENTLİYİ (AZPROMO),Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,4289,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000120,CASPİAN CABLE SYSTEMS MMC,Azərbaycan,MEDİA,B1106,bakubuild,BakuBuild,2022,230,7146,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000121,CASPİAN ENERGY GROUP,Azərbaycan,MEDİA,B1206,bakubuild,BakuBuild,2022,230,6725,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000122,EVİM CONSRTUCTİON MMC,Azərbaycan,MEDİA,B1006,bakubuild,BakuBuild,2022,230,6537,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000123,FIRE SAFETY CASPIAN AZERBAIJAN MMC,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,5476,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000124,GREEN STREAM INTERNATIONAL MMC,Azərbaycan,MEDİA,B2092,bakubuild,BakuBuild,2022,230,5958,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000125,GREENWICH TRAVEL CLUB,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,4816,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000126,GƏMİQAYA HOLDİNQ,Azərbaycan,MEDİA,B1110,bakubuild,BakuBuild,2022,230,6735,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000127,HILTON BAKU,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,7045,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000128,HYATT REGENCY BAKU,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,4291,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000129,IMPERİAL CERAMİC CENTER,Azərbaycan,MEDİA,B1060,bakubuild,BakuBuild,2022,230,7526,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000130,KARTAŞ LTD MMC,Azərbaycan,MEDİA,B1220,bakubuild,BakuBuild,2022,230,6985,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000131,KOVROLİN.AZ,Azərbaycan,MEDİA,B2026,bakubuild,BakuBuild,2022,230,7657,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000132,LİFE HEALTH MMC,Azərbaycan,MEDİA,B2084,bakubuild,BakuBuild,2022,230,7639,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000133,MASTER TOOLS MMC-NİN AZƏRBAYCAN RESPUBLİKASINDAKI  FİLİALI,Azərbaycan,MEDİA,B1306,bakubuild,BakuBuild,2022,230,6311,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000134,MRT MMC,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,7426,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000135,NB HOLDİNQ ASC,Azərbaycan,MEDİA,B1120,bakubuild,BakuBuild,2022,230,7002,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000136,NI GROUP MMC,Azərbaycan,MEDİA,B1226,bakubuild,BakuBuild,2022,230,6447,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000137,OFFISSA DIZAYN KO MMC,Azərbaycan,MEDİA,B2318,bakubuild,BakuBuild,2022,230,7712,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000138,OPEN SYSTEMS MMC,Azərbaycan,MEDİA,B1108,bakubuild,BakuBuild,2022,230,7172,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000139,OTTIMO TOOLS AND TECHNOLOGIES,Azərbaycan,MEDİA,B2096,bakubuild,BakuBuild,2022,230,7614,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000140,PIMAPEN,Azərbaycan,MEDİA,B1124-1,bakubuild,BakuBuild,2022,230,5558,https://bakubuild.az/az/exhibitors-list/year/2022
