id,name,firm_type,registry_number,director,city,address,phones,email,community_id,lawyers_search_url,has_cabinets,source,source_url
customs-broker-109,"""Total Express Logistics and Broker Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,109,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-110,"""Mbm Logistika"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,110,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-111,"""Sharg Logistics"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,111,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-112,"""Real Logistics and Customs Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,112,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-113,"""Best Logistics and Customer Service"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,113,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-114,"""Stellar Business Solutions"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,114,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-115,"""Global Logistic Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,115,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-116,"""H.V.Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,116,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-117,"""Nb-Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,117,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-118,"""İso Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,118,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
